AnimalID,Breed,Age,Weight,LactationPeriod,HealthStatus,FeedType,FeedAmount,WaterIntake,Temperature,Humidity,BarnCondition,PastMilkProduction,MilkingFrequency,VetVisits,MilkProduction
1,BreedA,6,556,176,Healthy,TypeC,17.32232834433803,76.3711783763039,23.057428912728415,36.3966787005547,Moderate,25.885194151949555,1,0,179.09068706491178
2,BreedA,2,311,240,Healthy,TypeB,11.3516438175784,90.27999797576315,18.91107455300116,40.80100811479667,Moderate,20.58011098262568,2,0,139.8846397593682
3,BreedC,6,501,243,Healthy,TypeA,25.587923934693602,88.43064237194041,31.93446953470823,85.47315410893913,Clean,10.32481027672356,3,0,274.2434263791012
4,BreedB,5,398,236,Sick,TypeB,38.8506592931912,32.02855363649216,18.55562991322298,38.06085671046394,Moderate,14.769536407113774,2,0,206.02733040812078
5,BreedB,5,447,188,Sick,TypeA,15.859514617314332,36.15566972517672,30.975148596860514,75.53783301786815,Dirty,22.02290650205669,2,2,215.9461500093543
6,BreedC,8,300,215,Sick,TypeB,14.60888251056298,34.0383867113446,18.373478558849733,48.23884407097418,Moderate,23.98209379248621,3,1,209.54633659820746
7,BreedB,1,306,196,Healthy,TypeA,17.886357762868833,66.35727732466452,34.99525231625957,49.442706374730385,Moderate,11.653580287965855,2,1,258.1569835146131
8,BreedB,7,633,223,Sick,TypeB,26.43808004676329,89.97011113989285,21.14519604444795,47.399915561982425,Moderate,28.204227305482117,3,1,176.55335978649515
9,BreedB,3,555,285,Healthy,TypeC,18.99183178174797,93.79051966803667,21.02865795300654,48.32791848978553,Dirty,11.477759695034004,1,1,223.91765591088057
10,BreedA,3,636,227,Healthy,TypeA,21.711732722460333,31.58041590894367,30.22082885875527,80.95619800328546,Clean,17.989072091421757,3,1,145.53081089682502
11,BreedB,2,521,215,Healthy,TypeB,35.029250581988265,64.39953355754061,19.15177553284184,48.80629202796851,Moderate,21.243604209031588,3,2,185.02295458265712
12,BreedC,6,566,243,Sick,TypeB,35.72166003848701,55.65794932595614,29.439511129560742,41.272200501974496,Dirty,26.215207063989304,2,0,146.94738475185937
13,BreedC,1,481,239,Sick,TypeC,39.27455395009022,97.96897448609658,19.12430914767461,65.74973015445448,Clean,22.85753546352153,1,2,208.6776734386959
14,BreedC,7,456,235,Sick,TypeA,23.25865252232155,78.32518519546622,15.439844444934206,60.514545117017875,Clean,24.053478968545072,1,1,102.80095739611997
15,BreedA,1,404,272,Sick,TypeB,36.14804290568787,57.39737096822553,18.8140504694479,54.60468325498026,Moderate,15.115978974737644,2,2,292.4192950971181
16,BreedC,1,663,263,Sick,TypeB,33.74258830473093,44.592701465074036,23.807610375271544,62.497737959821805,Dirty,24.571499303882582,3,0,154.59952088801253
17,BreedB,6,413,187,Sick,TypeA,12.17390950401844,65.14862773491751,16.381732555314017,62.44131412829685,Clean,24.776575396641498,3,0,180.68630461302763
18,BreedC,8,353,256,Healthy,TypeA,39.27734478981424,47.85153421121845,29.981042049550304,41.44099137725779,Dirty,15.685364580530667,3,1,220.2025336636859
19,BreedC,4,691,218,Sick,TypeA,27.445455663504283,32.30394558005529,30.893313380920944,48.966271874706536,Clean,16.553354580724843,3,0,140.13362503838758
20,BreedB,7,417,286,Healthy,TypeA,37.7134133907505,75.95810422682867,24.090819072261308,79.60319906944208,Clean,22.70705011900588,2,2,256.6263245719324
21,BreedC,8,300,268,Healthy,TypeB,34.102815203555394,32.42663593017926,20.888398893959188,53.54721254393962,Clean,21.258102235962056,3,1,212.40165808629797
22,BreedC,1,522,269,Sick,TypeB,13.256947410851637,84.7773046822759,25.71251483887337,78.19951488874378,Dirty,27.186506915131762,3,1,290.179323634239
23,BreedC,7,452,155,Healthy,TypeB,15.779233907887216,93.5546091587725,22.7933613920221,71.48431560024949,Dirty,11.526548939426979,2,2,187.55744765158656
24,BreedC,9,339,194,Sick,TypeB,30.279985523696375,83.93911674410876,22.149387963465283,37.79060961109745,Clean,13.340518931017417,3,2,286.7669653903108
25,BreedA,4,513,242,Healthy,TypeA,36.976451072415955,23.622230216812294,32.68528185092822,60.30059183957978,Moderate,16.127963556318512,1,1,124.43236962606892
26,BreedB,7,663,205,Healthy,TypeB,36.03611791942955,33.85415945077703,29.840902134461686,41.091187221723104,Dirty,24.446262640077318,1,1,209.75774464420135
27,BreedC,4,529,277,Sick,TypeA,14.267153779982394,79.22573655503646,21.63136849337829,54.16717286646754,Moderate,19.581041776771357,1,0,257.9119550557434
28,BreedA,8,626,271,Sick,TypeB,24.965568844658275,87.17079658863037,34.64431637785033,59.035723500123254,Clean,11.258225080832522,1,0,208.20258132375568
29,BreedC,3,530,251,Healthy,TypeA,33.05030536134356,26.738911081277507,17.316870683906767,83.16280601734265,Clean,29.614350582959567,2,1,172.39039492565024
30,BreedB,4,346,275,Sick,TypeB,13.213388951021356,53.88786687481081,23.443879303217535,30.517314894385983,Clean,28.307534989120754,2,1,240.43792156589708
31,BreedA,8,539,205,Sick,TypeC,22.823322350107745,83.31390728983547,25.2364113221182,89.41055074632011,Clean,14.274349932501336,3,2,212.61326513210813
32,BreedA,4,662,267,Sick,TypeB,34.59738949977154,61.77304628137676,34.733753276601746,88.85622458414605,Dirty,26.443079750784797,2,2,260.58160030641136
33,BreedB,4,465,209,Healthy,TypeC,17.37064825636065,41.2798784035828,24.69788829143523,41.4762432392845,Dirty,12.133057531941326,1,2,259.4970242667964
34,BreedC,3,561,252,Sick,TypeC,31.872259123495642,40.32820722508477,28.929841800462636,87.23381183891102,Moderate,10.599313465849692,2,2,288.0412811998164
35,BreedB,8,699,237,Sick,TypeA,35.53980273955476,55.20601499181461,15.555862826817153,49.724586497892574,Clean,21.515067557236883,2,1,254.2651109769386
36,BreedA,2,528,200,Healthy,TypeC,18.146956153651864,51.20952505158088,17.529446765017948,31.625286260363453,Moderate,13.759231164163165,3,0,121.92348010578613
37,BreedA,9,634,214,Sick,TypeA,32.098802102188074,87.57456734720246,31.52577460890654,40.51727774689541,Clean,14.45022357237769,2,1,201.88283852526607
38,BreedB,2,369,224,Sick,TypeA,19.95818118483313,83.14750671578591,20.39888412327456,70.45230237779961,Dirty,27.365956751522198,1,2,104.27428962149885
39,BreedB,1,641,196,Healthy,TypeB,36.51421879613158,52.791962593995805,16.070073162815927,82.62154051542723,Moderate,15.509368666593863,2,2,251.8135243336812
40,BreedA,7,416,251,Sick,TypeB,37.55577669092444,26.265969736791934,21.1231783786329,86.60901689349606,Moderate,28.610825594482833,2,1,236.29012538498114
41,BreedA,1,545,151,Sick,TypeB,32.134342786670445,54.66667533934672,30.227684979980918,74.311912364845,Dirty,16.916695883117832,3,2,164.6307752100574
42,BreedC,9,516,243,Sick,TypeB,22.809441722250426,23.724377500820026,26.477819379554774,61.47201040088335,Moderate,17.433825238466053,1,1,150.36465282506805
43,BreedA,3,507,186,Sick,TypeA,34.509999043828024,30.248176768146536,30.511100198931647,65.7249447530626,Moderate,10.107691800770876,3,2,298.263269362904
44,BreedC,6,349,260,Healthy,TypeC,22.806725767173777,82.74563284090756,30.220068565167026,59.20195540286105,Clean,19.63834705894817,3,0,155.58060290983224
45,BreedC,3,534,216,Healthy,TypeB,28.39408002234469,91.65297404873493,20.025223038939856,74.67150894764809,Moderate,22.58504608337858,1,1,151.07235168053134
46,BreedA,1,437,277,Sick,TypeC,21.10717515037251,78.41189952118552,27.16040755564552,40.22740473196089,Clean,25.731986789266365,3,0,107.18259092219651
