AnimalID,Breed,Age,Weight,LactationPeriod,HealthStatus,FeedType,FeedAmount,WaterIntake,Temperature,Humidity,BarnCondition,PastMilkProduction,MilkingFrequency,VetVisits,MilkProduction
1,BreedB,9,635,243,Sick,TypeB,35.109593124034504,91.4658970693403,25.574021915989245,46.76191041006574,Dirty,27.349253147939322,1,0,143.8048641450414
2,BreedA,1,537,243,Healthy,TypeC,25.284974196375266,53.115751819209905,33.604748190736345,70.18042520218799,Clean,12.307747923996752,1,0,242.1902301860032
3,BreedA,3,609,298,Sick,TypeB,36.224218102233294,57.02747592530862,29.234993321533178,60.814895160930575,Moderate,18.87122244363175,3,2,146.453617244402
4,BreedB,1,335,209,Healthy,TypeC,30.05187512146258,58.77092470598133,16.47754753413443,39.027954570743695,Dirty,12.742100323275823,1,2,274.8308751942549
5,BreedC,9,353,285,Sick,TypeC,37.494507013640515,76.04311934836261,22.77869452069599,33.570377135241465,Clean,14.047821120096822,1,2,285.4851391948407
6,BreedC,3,302,195,Healthy,TypeC,29.29729846012035,59.48957270093963,32.2960330487776,39.8068505443459,Moderate,10.996902424957785,3,2,249.2935571048698
7,BreedA,3,487,291,Sick,TypeB,10.519546655773444,74.6942346708548,17.364684818993336,69.45520776892643,Dirty,26.77773706273894,1,2,177.53451152237997
8,BreedA,1,489,281,Sick,TypeA,11.04294980777005,40.563088682107214,19.195845777383045,61.51335956372409,Clean,22.4166533699782,1,2,265.6330750392825
9,BreedA,7,351,244,Sick,TypeA,29.83453230735914,87.69715762519405,23.619454775883383,66.16385265572347,Clean,15.87245195909058,3,1,255.17617442089158
10,BreedC,9,651,192,Healthy,TypeA,12.095236156303852,98.3673020727094,20.244921892422838,46.31781215733557,Moderate,24.175850300196768,3,0,182.12308518201786
11,BreedB,2,530,229,Healthy,TypeB,13.977314501152573,64.15102023540814,31.161212053685404,37.426175723647454,Dirty,15.908258512321849,3,0,256.4871207247354
12,BreedB,2,493,299,Sick,TypeA,35.95615978721166,42.38934847186209,23.91400505839873,46.46510986993197,Dirty,27.52124433120198,1,0,161.09154304690514
13,BreedC,1,681,172,Healthy,TypeB,32.60792377557068,42.317809691390025,17.40832182379709,88.88570616931372,Moderate,15.808755730699794,3,0,236.61660342018908
14,BreedB,9,644,259,Healthy,TypeB,17.326616784436176,79.73438854187589,33.30085610398824,70.63973350622206,Dirty,14.71158651890067,2,1,112.76902896122552
15,BreedB,5,440,269,Sick,TypeB,33.02797121703537,75.42889454283952,31.663761488555057,71.48553713121787,Dirty,12.804252685491688,3,2,167.62577336332913
16,BreedC,4,319,271,Healthy,TypeB,32.843116935104604,94.61358842296853,21.782816748227674,84.39128668064265,Dirty,19.002625595029798,1,0,143.41488887735025
17,BreedC,3,563,169,Healthy,TypeC,35.047447980565806,74.27322842054826,26.334233426179104,39.93459150903361,Moderate,17.525863540144325,3,2,130.31110541617022
18,BreedB,8,508,285,Sick,TypeC,39.205125678850536,86.65789551197571,32.38634381113046,56.71831001055863,Dirty,13.209199050618569,2,0,151.65721621640193
19,BreedC,9,517,242,Sick,TypeC,18.94294207290099,77.92743044672736,24.215357904517845,43.230823826696955,Moderate,24.759017342317534,2,1,142.50671296428507
20,BreedC,3,615,214,Sick,TypeC,18.188109722875176,40.4839669166087,22.50005356791883,58.54670981538555,Clean,20.41850409706875,1,1,101.68217133007585
21,BreedA,3,586,218,Sick,TypeC,35.908853197680536,84.04881079817243,19.225908390398118,81.54790396717425,Moderate,24.35109562601707,1,2,209.66315338239568
22,BreedA,8,568,258,Sick,TypeB,14.852363563856406,49.098509910715045,33.60504100210029,77.9120330021422,Moderate,15.470511988582654,3,2,248.35237789878246
23,BreedA,5,356,186,Sick,TypeC,20.437652672518304,99.85603237076032,26.781139554490217,53.380701515680684,Moderate,10.096019243344504,3,1,108.98785819451659
24,BreedB,5,387,164,Healthy,TypeA,26.320525955493373,35.040509355988725,22.65929834660886,36.454973170859425,Clean,22.322988649022864,2,1,114.56870257965409
25,BreedB,1,448,277,Healthy,TypeA,14.490403746341002,31.867855854741336,30.689147508766197,64.27065367628438,Clean,25.598882591664278,3,1,283.67481742108714
26,BreedB,2,674,195,Healthy,TypeA,24.512102950156514,60.3408063114735,32.129693353250794,80.789617279207,Clean,26.940994622843636,2,2,268.51215660126996
27,BreedC,3,385,231,Healthy,TypeA,39.74756283940863,89.24745362174419,23.364047626742774,38.59968274124692,Moderate,29.73814912391664,1,1,142.57512402370588
28,BreedA,7,364,264,Healthy,TypeC,22.48250295231942,71.27121284488368,24.89708501477188,53.31841986974865,Clean,10.518556721848533,2,2,202.94351330475308
29,BreedC,7,402,239,Sick,TypeC,10.270657978240006,89.54769506070538,17.363437266863297,88.16389564794174,Clean,25.1250474979494,3,1,116.12452831304292
30,BreedC,9,478,241,Healthy,TypeA,18.963527236494176,31.181616482784325,20.003304104989816,39.96183615842901,Clean,21.330522968549634,2,2,274.80494368931977
31,BreedC,2,456,179,Healthy,TypeA,10.459416346115942,66.48327091925518,32.968729366485476,39.675906039174365,Moderate,13.716901164474347,3,2,105.06174833918097
