AnimalID,Breed,Age,Weight,LactationPeriod,HealthStatus,FeedType,FeedAmount,WaterIntake,Temperature,Humidity,BarnCondition,PastMilkProduction,MilkingFrequency,VetVisits,MilkProduction
1,Guernsey,9,535.7,182,Sick,Silage,28.9,44.9,19.8,53.4,Dirty,10.2,2,5,42.5
2,Ayrshire,9,416.7,160,Sick,Grain,10.0,41.5,20.0,51.9,Moderate,23.8,1,3,48.2
3,Jersey,4,599.8,291,Healthy,Alfalfa,28.6,99.1,25.7,81.5,Moderate,29.4,3,2,55.7
4,Ayrshire,5,320.4,206,Healthy,Silage,19.9,78.3,23.4,79.5,Moderate,16.3,2,5,49.1
5,Holstein,7,539.6,236,Sick,Grain,21.8,50.3,26.0,34.2,Moderate,22.3,3,5,44.3
6,Holstein,7,371.9,295,Sick,Alfalfa,26.4,89.5,15.6,35.8,Moderate,11.7,1,3,51.4
7,Friesian,3,414.4,257,Sick,Alfalfa,13.7,60.2,16.1,73.9,Clean,24.6,2,5,44.5
8,Holstein,6,423.7,196,Sick,Grain,24.3,46.9,24.2,51.7,Moderate,28.2,3,0,57.6
9,Holstein,8,408.9,221,Sick,Grain,11.0,28.9,27.9,57.9,Dirty,27.9,2,2,43.2
10,Guernsey,2,387.2,212,Sick,Alfalfa,27.5,21.6,23.9,49.1,Clean,18.9,3,5,57.2
11,Jersey,3,425.9,216,Sick,Silage,12.4,96.3,27.8,47.8,Dirty,17.3,2,0,46.7
12,Jersey,6,352.3,269,Sick,Hay,14.3,39.8,19.1,55.8,Moderate,25.5,1,3,40.1
13,Friesian,2,327.2,185,Sick,Grain,18.8,74.3,24.3,43.0,Clean,15.2,3,2,41.8
14,Ayrshire,3,349.7,277,Sick,Pasture,21.7,67.1,17.3,42.3,Dirty,24.1,3,3,54.2
15,Jersey,10,529.7,234,Healthy,Pasture,29.7,82.3,24.4,38.3,Dirty,22.2,1,2,46.6
16,Ayrshire,5,348.7,177,Healthy,Pasture,26.5,32.9,23.8,70.8,Clean,12.5,1,5,41.6
17,Ayrshire,1,337.8,260,Sick,Alfalfa,24.7,96.0,25.3,88.7,Dirty,18.4,3,3,59.0
